keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"akuntansi, konseling, komunikasi","akuntansi, konseling, komunikasi","bisnis, analisis data",Magister,sains,Tidak Ada Sertifikasi,3.04,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,akuntansi konseling komunikasi bisnis analisis data sains,valid,Tidak,1,1,1,5
python,python,"bisnis, keuangan",SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,2.48,Analis Keuangan,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,python bisnis keuangan,valid,Tidak,4,1,2,4
akuntansi,akuntansi,"bisnis, keuangan",Doktor,psikologi,Sertifikasi Pemasaran Digital,3.28,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,akuntansi bisnis keuangan psikologi,valid,Tidak,0,1,0,4
"konseling, akuntansi, pembelajaran mesin","konseling, akuntansi, pembelajaran mesin","teknologi, ilmu data",SMA/Sederajat,psikologi,Tally ERP,3.28,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,konseling akuntansi pembelajaran mesin teknologi data sains psikologi,valid,Tidak,0,1,2,4
"konseling, pemasaran, analisis keuangan","konseling, pemasaran, analisis keuangan","bisnis, keuangan",Sarjana,seni,AWS Certified,2.92,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,konseling pemasaran analisis keuangan bisnis keuangan seni,valid,Tidak,4,1,3,4
"analisis keuangan, analisis data","analisis keuangan, analisis data","bisnis, analisis data",Magister,perdagangan,Dasar Kesehatan Mental,2.88,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,analisis keuangan analisis data bisnis perdagangan,valid,Tidak,1,1,1,5
analisis keuangan,analisis keuangan,"bisnis, keuangan",SMA/Sederajat,seni,Google Data Analytics,3.72,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,analisis keuangan bisnis keuangan seni,valid,Tidak,4,1,2,4
"pembelajaran mesin, komunikasi","pembelajaran mesin, komunikasi","bisnis, keuangan",SMA/Sederajat,keuangan,Sertifikasi Pemasaran Digital,3.04,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,pembelajaran mesin komunikasi bisnis keuangan,valid,Tidak,4,1,2,4
"komunikasi, ms office, analisis keuangan","komunikasi, ms office, analisis keuangan","bisnis, keuangan",Magister,sains,AWS Certified,3.8,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,komunikasi ms office analisis keuangan bisnis keuangan sains,valid,Tidak,4,1,1,4
"python, analisis keuangan, sql","python, analisis keuangan, sql","teknologi, ilmu data",SMA/Sederajat,bisnis,Dasar Kesehatan Mental,3.4,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,python analisis keuangan sql teknologi data sains bisnis,valid,Tidak,0,1,2,4
"analisis data, sql, pemasaran","analisis data, sql, pemasaran","bisnis, keuangan",SMA/Sederajat,bisnis,Dasar Kesehatan Mental,2.48,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,analisis data sql pemasaran bisnis keuangan,valid,Tidak,4,1,2,4
"analisis keuangan, pemasaran","analisis keuangan, pemasaran","bisnis, analisis data",Magister,keuangan,Tally ERP,2.8,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,analisis keuangan pemasaran bisnis analisis data keuangan,valid,Tidak,1,1,1,5
"komunikasi, pemasaran","komunikasi, pemasaran","bisnis, analisis data",Doktor,sains,Penulisan Kreatif,3.44,Analis Bisnis,layanan bisnis,"konten, tugas sosial, penjualan & pengaruh",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,komunikasi pemasaran bisnis analisis data sains,valid,Tidak,1,1,0,5
"ms office, python, konseling","ms office, python, konseling","teknologi, ilmu data",SMA/Sederajat,perdagangan,CFA Level 1,3.16,Akuntan Junior,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,ms office python konseling teknologi data sains perdagangan,valid,Tidak,0,1,2,4
"akuntansi, ms office, sql","akuntansi, ms office, sql","bisnis, analisis data",SMA/Sederajat,perdagangan,Dasar Kesehatan Mental,2.6,Analis Bisnis,layanan bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,akuntansi ms office sql bisnis analisis data perdagangan,valid,Tidak,1,1,2,5
"konseling, akuntansi, analisis data","konseling, akuntansi, analisis data","teknologi, ilmu data",Sarjana,seni,CFA Level 1,3.72,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,konseling akuntansi analisis data teknologi data sains seni,valid,Tidak,0,1,3,4
"ms office, pemasaran","ms office, pemasaran","bisnis, analisis data",SMA/Sederajat,perdagangan,Penulisan Kreatif,3.6,Analis Bisnis,layanan bisnis,"konten, tugas sosial, penjualan & pengaruh",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,ms office pemasaran bisnis analisis data perdagangan,valid,Tidak,1,1,2,5
"pembelajaran mesin, analisis keuangan, python","pembelajaran mesin, analisis keuangan, python","bisnis, keuangan",SMA/Sederajat,psikologi,Tally ERP,2.96,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,pembelajaran mesin analisis keuangan python bisnis keuangan psikologi,valid,Tidak,4,1,2,4
"python, konseling","python, konseling","bisnis, keuangan",Magister,ilmu komputer,Tally ERP,2.52,Analis Keuangan,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,python konseling bisnis keuangan komputer sains,valid,Tidak,4,1,1,4
"analisis keuangan, komunikasi","analisis keuangan, komunikasi","bisnis, keuangan",Magister,psikologi,Penulisan Kreatif,3.72,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,analisis keuangan komunikasi bisnis keuangan psikologi,valid,Tidak,4,1,1,4
komunikasi,komunikasi,pengembangan karir umum,Magister,perdagangan,Penulisan Kreatif,3.36,Akuntan Junior,keuangan,tugas umum,"akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,komunikasi umum karir pengembangan perdagangan,valid,Tidak,0,1,1,4
"komunikasi, akuntansi, analisis data","komunikasi, akuntansi, analisis data","bisnis, keuangan",Magister,perdagangan,Tally ERP,2.44,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,komunikasi akuntansi analisis data bisnis keuangan perdagangan,valid,Tidak,4,1,1,4
"analisis keuangan, pembelajaran mesin","analisis keuangan, pembelajaran mesin","teknologi, ilmu data",SMA/Sederajat,psikologi,Dasar Kesehatan Mental,2.92,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,analisis keuangan pembelajaran mesin teknologi data sains psikologi,valid,Tidak,0,1,2,4
"pembelajaran mesin, akuntansi","pembelajaran mesin, akuntansi","teknologi, ilmu data",Sarjana,perdagangan,Google Data Analytics,2.6,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pembelajaran mesin akuntansi teknologi data sains perdagangan,valid,Tidak,0,1,3,4
"sql, akuntansi","sql, akuntansi","bisnis, keuangan",Doktor,bisnis,Google Data Analytics,3.44,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,sql akuntansi bisnis keuangan,valid,Tidak,4,1,0,4
"ms office, konseling, sql","ms office, konseling, sql",pengembangan karir umum,SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,3.48,Akuntan Junior,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,ms office konseling sql umum karir pengembangan bisnis,valid,Tidak,0,1,2,4
"analisis keuangan, analisis data, komunikasi","analisis keuangan, analisis data, komunikasi","bisnis, analisis data",Doktor,keuangan,Dasar Kesehatan Mental,2.72,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,analisis keuangan analisis data komunikasi bisnis keuangan,valid,Tidak,1,1,0,5
"konseling, analisis data","konseling, analisis data","bisnis, keuangan",Magister,ilmu komputer,Google Data Analytics,2.92,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,konseling analisis data bisnis keuangan komputer sains,valid,Tidak,4,1,1,4
komunikasi,komunikasi,"bisnis, analisis data",SMA/Sederajat,sains,Tidak Ada Sertifikasi,2.52,Analis Bisnis,layanan bisnis,tugas umum,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,komunikasi bisnis analisis data sains,valid,Tidak,1,1,2,5
"pemasaran, komunikasi, analisis keuangan","pemasaran, komunikasi, analisis keuangan",marketing,SMA/Sederajat,perdagangan,Penulisan Kreatif,3.16,Akuntan Junior,keuangan,"konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pemasaran komunikasi analisis keuangan perdagangan,valid,Tidak,0,1,2,4
"pembelajaran mesin, analisis keuangan","pembelajaran mesin, analisis keuangan","bisnis, analisis data",SMA/Sederajat,seni,Tally ERP,2.64,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,pembelajaran mesin analisis keuangan bisnis analisis data seni,valid,Tidak,1,1,2,5
analisis data,analisis data,"bisnis, analisis data",SMA/Sederajat,teknik,Tally ERP,3.2,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,analisis data bisnis teknik,valid,Tidak,1,1,2,5
"python, akuntansi","python, akuntansi","bisnis, keuangan",Sarjana,perdagangan,Dasar Kesehatan Mental,2.88,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,python akuntansi bisnis keuangan perdagangan,valid,Tidak,4,1,3,4
"pemasaran, akuntansi, python","pemasaran, akuntansi, python","teknologi, ilmu data",SMA/Sederajat,sains,CFA Level 1,3.28,Akuntan Junior,keuangan,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pemasaran akuntansi python teknologi data sains sains,valid,Tidak,0,1,2,4
"ms office, sql","ms office, sql",pengembangan karir umum,SMA/Sederajat,keuangan,Penulisan Kreatif,3.56,Akuntan Junior,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,ms office sql umum karir pengembangan keuangan,valid,Tidak,0,1,2,4
"analisis keuangan, sql, python","analisis keuangan, sql, python","bisnis, keuangan",Doktor,keuangan,Sertifikasi Pemasaran Digital,3.8,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,analisis keuangan sql python bisnis keuangan,valid,Tidak,4,1,0,4
"pembelajaran mesin, analisis keuangan","pembelajaran mesin, analisis keuangan","teknologi, ilmu data",SMA/Sederajat,bisnis,Sertifikasi Pemasaran Digital,2.64,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pembelajaran mesin analisis keuangan teknologi data sains bisnis,valid,Tidak,0,1,2,4
"ms office, analisis data, akuntansi","ms office, analisis data, akuntansi","bisnis, analisis data",SMA/Sederajat,perdagangan,Tally ERP,2.88,Analis Bisnis,layanan bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,ms office analisis data akuntansi bisnis perdagangan,valid,Tidak,1,1,2,5
